,exp_name,training_time_seconds,training_parameters,validation_accuracy
0,default_exp,58.0127899646759,"{'few_shot_size': 10, 'seed': 42, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 10 FT'}",0.4908256880733945
1,default_exp,56.57581186294556,"{'few_shot_size': 10, 'seed': 6657, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 10 FT'}",0.5091743119266054
2,default_exp,57.236762046813965,"{'few_shot_size': 10, 'seed': 2025, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 10 FT'}",0.5114678899082569
3,default_exp,59.51819610595703,"{'few_shot_size': 50, 'seed': 42, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 50 FT'}",0.5275229357798165
4,default_exp,75.76133751869202,"{'few_shot_size': 50, 'seed': 6657, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 50 FT'}",0.5114678899082569
5,default_exp,61.246673345565796,"{'few_shot_size': 50, 'seed': 2025, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 50 FT'}",0.46674311926605505
6,default_exp,62.71781086921692,"{'few_shot_size': 100, 'seed': 42, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 100 FT'}",0.5493119266055045
7,default_exp,64.42198395729065,"{'few_shot_size': 100, 'seed': 6657, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 100 FT'}",0.5022935779816514
8,default_exp,68.20108485221863,"{'few_shot_size': 100, 'seed': 2025, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 100 FT'}",0.5435779816513762
9,default_exp,73.032949924469,"{'few_shot_size': 200, 'seed': 42, 'epochs': 5, 'learning_rate': 3e-05, 'per_device_train_batch_size': 32, 'per_device_eval_batch_size': 16, 'weight_decay': 0.01, 'max_length': 128, 'model_name': 'gpt2', 'num_labels': 2, 'name': 'Few_shot 200 FT'}",0.6100917431192661
